Product_Name,Price,Total Discount,Rating,Display_size,Operating_system,Screen_Resolution,Speaker Output
SAMSUNG ,148990,42,4.4,165,6,4,20 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
Micromax ,49999,28,4.2,139,0,4,30 
SAMSUNG 8 ,64500,25,4.5,138,6,4,20 
Sansui ,119990,0,4.3,139,0,4,20 
TCL P615 ,29999,42,4.4,108,0,4,24
SAMSUNG Q Series ,341900,14,2.3,163,6,4,40 
SAMSUNG 7 ,55670,14,4.4,125,6,4,20 
TCL S6500 Series ,26990,32,4.2,100.3,0,3,20 
SAMSUNG ,17499,12,4.3,80,6,1,20 
MURPHY ,12990,23,4.4,80,0,3,20 
SAMSUNG ,38999,20,4.3,108,6,4,20 
Mi 4 Pro ,54999,0,4.4,138.8,0,4,16 
TCL C815 Series ,59999,68,3.8,139,0,4,50 
SONY Bravia A8F ,259999,42,4.3,163.9,0,4,50 
SONY ,337493,51,4.4,215,0,4,20 
Mi 4A PRO ,14999,0,4.4,80,0,1,20 
Hisense A71F ,36999,25,4.4,139,0,4,30 
PHILIPS 6800 Series ,18999,9,4.1,80,5,1,12 
TCL ,55499,38,4.3,138.7,0,4,16 
PHILIPS 6600 Series ,37999,64,4.2,126,5,4,20 
TCL P615 ,57999,51,4.1,164,0,4,24 
LG ,59999,33,4.6,126,8,4,20 
SAMSUNG 7 ,89990,22,4.4,163,6,4,20 
Vu Premium ,27999,49,4.4,126,0,4,30 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
SAMSUNG 6 ,59900,27,4.4,108,6,4,20 
TCL P65 Series ,25999,46,4.1,107.9,4,4,20 
SAMSUNG ,36106,48,4.3,109.2,6,4,20 
TCL P615 ,29999,42,4.4,108,0,4,24
Vu Premium Android 138cm (,41999,27,4.4,55,0,4,24 
SONY ,80799,14,4.6,138.8,0,4,20 
Mi 4X ,38999,7,4.4,125.7,0,4,20 
SAMSUNG ,17499,12,4.3,80,6,1,20 
SAMSUNG ,69990,30,4,125,6,4,20 
Vu ,22499,27,4.2,108,0,3,24 
TCL P2MUS ,47499,40,3.9,138.7,0,4,16 
Hisense A71F ,36999,25,4.4,139,0,4,30 
SAMSUNG ,51990,22,4,125,6,4,20 
SAMSUNG ,38990,31,4.4,108,6,3,20 
LG Nanocell ,385099,29,4.4,190,8,4,40 
TCL C815 Series ,59999,68,3.8,139,0,4,50 
SAMSUNG 9 ,49990,20,4.4,108,6,4,20 
LG ,54117,25,4.1,127,8,4,20 
Haier ,34999,20,4.1,108,0,4,20 
TOSHIBA U50 Series ,37999,30,4.3,139,7,4,30 
Panasonic FX650 Series ,37999,65,4.4,123,5,4,20 
Vu ,108000,56,4.4,190,0,4,30 
SONY Bravia A9F ,469999,11,5,164,0,4,98 
TCL P615 ,57999,51,4.1,164,0,4,24 
LG Nanocell ,64999,34,4.5,123,8,4,20 
SAMSUNG Series 6 ,294900,0,4.7,163,6,4,20 
Adsun ,23349,46,3.8,127,1,4,20 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
SONY Bravia R202F ,14023,45,4.4,80,0,1,20 
ONIDA Live Genius ,29800,40,4.1,107.95,0,4,16 
LG ,349999,29,4.4,164,8,4,60 
SAMSUNG ,17499,12,4.3,80,6,1,20 
SAMSUNG The Serif Series ,74990,42,4.7,123,6,4,40 
LG Led ,13945,22,4.4,70,0,1,10 
Sanyo 4K UHD ,50999,33,4.5,139,5,4,20 
TCL C815 Series ,59999,68,3.8,139,0,4,50 
Compaq HEX ,59999,40,4.4,138,0,4,24 
Panasonic ,42999,41,4.2,123.4,1,3,20 
Mi 4A Pro ,32994,0,4.4,123.2,0,3,20 
TCL P615 ,57999,51,4.1,164,0,4,24 
Haier ,25590,30,4.7,102,0,3,20 
SONY Bravia X7002F ,54999,52,4.6,123.2,5,4,20 
SAMSUNG Series 5 ,36999,37,4.3,108,6,3,40 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
LG All-in-One ,36499,13,4.4,108,8,3,20 
SONY ,82493,36,4.8,139,1,4,20 
TCL P2MUS ,79999,46,4,163.8,1,4,16 
TCL P615 ,29999,42,4.4,108,0,4,24
Panasonic ,58358,16,4.4,139,0,4,20 
Skyworth ,13954,53,4.4,80,0,4,20 
IMPEX Platina Series ,36379,31,4,109,0,3,20 
TCL C715 Series ,45999,58,4.4,126,0,4,30 
LG Nanocell ,164999,37,4.7,164,8,4,40 
Mi 4A Horizon Edition ,15999,0,4.4,80,0,1,20 
LG C9 ,262999,27,4.4,164,8,4,40 
SAMSUNG ,17499,12,4.3,80,6,1,20 
SAMSUNG 6 ,341990,22,4.4,189,6,4,20 
RGL ,11990,29,3.7,80,3,3,16 
LG ,28311,8,3.7,80,0,1,60 
TCL C815 Series ,59999,68,3.8,139,0,4,50 
Vu Pixelight ,84999,34,4.1,189,4,4,30 
SAMSUNG ,89899,33,4.7,139,6,4,20 
Lloyd Clara ,74999,51,4.8,163,5,4,30 
TCL P615 ,57999,51,4.1,164,0,4,24 
SAMSUNG Series 7 ,159500,32,4.6,163,6,4,20 
KODAK ,11499,45,4.3,80,1,1,20 
TCL ,7499,37,4,60.9,0,1,10 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
SONY ,37622,48,4.4,108,0,4,10
IGO By Onida ,17999,39,4.1,102,1,3,20 
LG ,47499,36,4.5,108,8,4,35 
TCL P615 ,29999,42,4.4,108,0,4,24
iFFALCON by TCL AI Powered K31 ,31999,54,4.4,138.78,0,4,20 
LG ,93999,27,4.5,164,8,4,20 
SAMSUNG (,43500,0,4.4,32,0,3,20 
TCL C715 Series ,45999,58,4.4,126,0,4,30 
SAMSUNG ,61990,17,4.5,138,6,4,20 
SONY ,14395,0,4.4,54.6,0,3,20 
SAMSUNG ,24726,46,3.8,108,0,3,20 
SAMSUNG ,17499,12,4.3,80,6,1,20 
Samsung 32 Inches HD LCD LA32D481G4 Television,32900,0,4.2,32,0,1,40 
SAMSUNG ,18490,17,4,80,0,1,10 
SONY ,109999,33,3.6,139,0,4,20 
TCL C815 Series ,59999,68,3.8,139,0,4,50 
SAMSUNG Q Series ,159500,34,4.4,138,6,4,40 
Vu Cinema ,13499,20,4.4,80,0,1,40 
LG ,14771,7,4.4,60,0,1,10 
TOSHIBA U50 Series ,37999,30,4.3,139,7,4,30 
LumX Border Less ,21990,53,4.4,109,0,4,24
SAMSUNG ,14999,48,4.3,80,0,1,10 
Dyanora ,27599,32,4.4,127,1,4,20 
Hisense A71F ,36999,25,4.4,139,0,4,30 
SAMSUNG Q Series ,314900,0,4.4,138,6,4,40 
Mi 4X ,28999,0,4.3,108,0,4,20 
SONY X8000H ,175991,46,4.4,189,0,4,20 
TCL P615 ,57999,51,4.1,164,0,4,24 
SAMSUNG R4500 ,15210,45,4.3,80,6,1,40 
